Job,Score
"DENTISTS, GENERAL",1014
Plant Scientist,1013
System Accountant,1012
computer & information systems manager,1011
Business Operations Specialists,1010
Tax Accountant,1009
CHIROPRACTOR,1008
"INFORMATION SECURITY ANALYSTS, WEB DEVELOPERS & COMPUTER NETWORK ARCHITECTS",1007
Quantitative Analyst,1006
AUTOMOTIVE BODY AND RELATED REPAIRERS,1005
Training & Development Managers,1004
Painter Supversivor,1003
Carpet Installer,1002
SENIOR Software Engineer,1001
Business & Reseacher,1000
Architectural Designer,999
Chef,998
IBM Rational Tools Administrator,997
Dental Hygienists,996
HOME CAREGIVER,995
15-1121; Computer Systems Analysts,994
Computer Support Specialist,993
Electrical and Electronics Engineering Technicians,992
DENTAL ASSISTANTS,991
SAP FICO Analyst,990
COMMERCIAL AND INDUSTRIAL DESIGNERS,989
Senior Accounting Manager,988
Medical Scientist,987
Animal Breeders,986
"Securities, Commodities and Financial Services Sales Agengts",985
Control System Project Manager,984
Marketing Manager (Global Marketing Operations),983
"Dentists, All Other Specialists",982
Sr. Consultant,981
COMPUTER HARDWARE ENGINEER,980
Computer and Info. Systems Managers,979
Sr. Data Research Engineer,978
Architectural Engineering Managers,977
"Agents and Business Managers of Artists, Performers, and Athletes",976
Occupational Therapists,975
Accountant and Auditors,974
"ARCHITECTS, EXCEPT LANDSCAPE AND NAVAL",973
Senior Systems Analyst,972
"Nursing Instructors and Teachers, Postsecondary",971
HOSPITALIST PHYSICIAN,970
Senior Embedded Software Engineer,969
"Transportation, Storage, and Distribution Mgrs",968
Training and Development Managers,967
Lecturer I - French,966
Hematologist/Oncologist,965
Global HR Analyst,964
Senior Network and System Engineer,963
SAP Consultant,962
computer systems analysts,961
BRANCH AUDITOR,960
"Foreign Language/Lit Teachers, Postsecondary",959
Senior Software Engineer (Java),958
Financial Strategist,957
Cost Estimator,956
"Vocational Education Teachers, Postsecondary",955
"Software Developers,Applications",954
"Computer Occupations, All Other",953
Accountants & Auditors,952
Account Planner,951
Export Manager,950
Medical & Health Services Manager,949
Business Development Specialist,948
"Education Administrator, Postsecondary",947
"Software Development, Systems Software",946
DENTIST,945
Sr. I-Phone Programmer/Architect,944
IT Architect,943
RELIGIOUS EDUCATION DIRECTOR,942
Personal Financial Advisors,941
FINANCIAL MANAGER,940
"Software Developer, Non-R&D",939
chefs and head cooks,938
"Coordinator, Laundry Services",937
HEAVY AND TRACTOR - TRAILER TRUCK DRIVERS,936
"Agricultural Sciences Teachers, Postsecondary",935
Chef/Head Cook,934
Montessori Teacher,933
"FARMWORKERS, FARM AND RANCH ANIMALS",932
Network & Comp Sys Administrators (15-1142),931
"Computer Software Engineers, Applications/Software Developer",930
Senior Application Developer,929
Structural Engineer,928
Computer and Info.Systems Managers,927
Greek Cooks,926
Computer Science Professor,925
Machinists,924
Personal and Home Care Aides,923
"Member of Technical Staff, Quality Engineering",922
Principal Software Engineer,921
"Assistant Professor, Criminal Justice",920
Managament Analysts,919
"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",918
Computer and Info Research Scientists,917
Senior Security Specialist,916
Assistant Professor in Computer Science & Engineering,915
Strategy Director,914
IT Director,913
IT- Technical Services Manager,912
Comp & Information Systems Managers,911
"Software Developer, Non R & D",910
Epidemiologists,909
Software Developer Application,908
"Software Developer, Appication",907
Product Development Chemist,906
Database Aministrators,905
Network & Systems Administrator,904
Cost Estimator/Analyst,903
Civil Engineer,902
Clinical Instructor,901
"Chemistry Teachers, Post Secondary",900
"Software Developer, applications",899
Executive Manager,898
"Computer Developers, Applications",897
Zoologists and Wildlife Biologists,896
Technical Resource Analyst,895
Office Secretary,894
Manager Food Services,893
THOROUGHBRED HORSE TRAINER,892
Market Research Analysts and Marketing Specialist,891
Elementary School Teacher,890
EDUCATION ADMINISTRATOR,889
FOOD PREPARATION WORKER,888
Procurement Clerks,887
Ticket Agent,886
Architectural & Engineering Manager,885
SEWING MACHINE OPERATOR,884
CARPENTER,883
"Special Education Teacher, Secondary School",882
Physician (Internal Medicine),881
Religious Education Director,880
HOME ATTENDANT,879
Systems Manager,878
ART DIRECTORS,877
"COOK, DOMESTIC",876
PURCHASING MANAGER,875
Systems Software Engineer,874
Dental Assistant,873
Mental Health Counselor,872
Indian Specialty Cook,871
"Geography Teachers, Postsecondary",870
First-Line Supervisors of Non-Retail Sales Workers,869
Programmer,868
FIRST LINE SUPERVISORS OF PRODUCTION AND OPERAT,867
Business Operations Specialist,866
Computer Systems and Network Engineer,865
Computer Software Engineer - Applications,864
"Computer Software Engineer, Systems Software",863
Pastoral Assistant,862
DIRECTOR MEDICAL EQUIPMENT,861
"Purchasing Agents, Except Wholesale, Retail, and Farm Products",860
BAGEL MAKER,859
Port Captain,858
Callidus/Actuate Consultant,857
Secondary School Teacher,856
Market Research Analysts&Marketing Specialists,855
Pastry Chef,854
Configuration Analyst,853
Home Health Aide,852
Asian Food Cook,851
DENTAL LABORATORY TECHNICIAN,850
Sr. Research Scientist,849
First-Line Supervisors/Managers of Non-Retail Sales Workers,848
Tow Truck Operator,847
CARPENTERS,846
Chef and Head Cook,845
Assistant Professor of Psychology,844
Software Developer (See H.14),843
Sr. Technology and Integration Engineer,842
Network and Computer Systems Administrators (new code: 15-1142),841
Technical E-Commerce Project Manager,840
First-Line Supervisors of Food Preparation and Serving Workers,839
Audiologists,838
OCCUPATIONAL HEALTH AND SAFETY SPECIALISTS,837
Management analysts,836
Database Administators,835
Marketing Research Analyst,834
Hospitalist,833
Physical Medicine & Rehabilitation Physician,832
"Senior Manager, Statistics",831
Computer Scientist,830
Lead Bioengineer,829
SENIOR APPLICATIONS ENGINEER,828
Senior Technical Consultant,827
Director of Business Operations,826
1st-Line Supvs of Off & Adm Support Workers,825
mWallet Technical Lead,824
Assistant Professor of Clinical Pediatrics,823
Oracle BI & DW Technical Architect,822
Trader,821
Public Relations Specialists,820
Senior Java/.NET Web Developer,819
Materials Enigneers,818
"Senior Developers, Applications",817
SENIOR INDUSTRIAL ENGINEER,816
TECHNICAL ACCOUNTANT SR.,815
Occupational Therapist / Rehab Director,814
Family Practice Physician,813
MEDICAL AND HELATH SERVICES MANAGERS,812
Industrial Engineeers,811
Senior Interior Designer,810
Principal Data Analyst,809
Foreign Technology Research Analyst,808
Mechanical Engineering Technicians,807
network and computer systems administrator,806
biochemists and biophysicists,805
Orthodontic lab technician,804
Hotel Director of Finance,803
"Anthropology and Archeology Teachers, Postsecondary",802
"Software Developer, Applications - II",801
Business Development and Marketing Director,800
ENGINEERING MANAGER,799
Mathematical Science Teachers,798
Product Development Engineer,797
Senior J2EE Developer,796
Accountants And Auditors,795
RESEARCH AND EVALUATION ANALYST,794
Application Team Lead,793
"HEALTH DIAGNOSING AND TREATING PRACTIONERS, ALL OTHER",792
Business Development Analyst.,791
CHILD WORKERS,790
"Cook, Japanese",789
Senior Reporter - Gov't & Public Affairs,788
Sr Systems Analyst,787
"INFORMATION SECURITY ANALYST, WEB DEVELOPERS",786
"Coating, Painting & Spraying Machine Setters, Operators & Tenders",785
Network & Computer Sys. Admin. [15-1142],784
Lead Music Teacher,783
Administrative Services Managers,782
computer support specialists,781
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",780
Veterinarians,779
"Software Development Engineers, Applications",778
Computer/Information Systems Managers,777
COMPUTER SYSTEM ANALYSTS,776
Optical Design Engineer,775
"Electronics Engineers, Except computer",774
Lecturer,773
Endocrinologist,772
"Business Teacher, Postsecondary",771
Office Manager,770
Chief Executive Officer,769
Computer an Information Systems Managers,768
Physician (Obstetrics/ Gynecology),767
Assistant Professor of Old Testament,766
Croft Asst Prof of History and International Studies,765
Senior Business Analyst,764
Computer and Information Sys Managers,763
Computer Programmer IV,762
Economic Analyst,761
Obstetrician and Gynecologist,760
Marketing Research Analyst and Marketing Specialist,759
Industrial-Organizational Psychologists,758
Oracle Database Administrator,757
Pathology Technical Coordinator,756
Program Director,755
Multi-media Artists & Animators,754
Engineering Team Lead,753
"Information Technology Developer, Applications",752
NETWORK ENGINEER,751
Senior Cosmetic R&D Chemist,750
.NET Architect/Developer,749
Sr. Technical Consultant,748
Librarians,747
Lecturer-Physical Sciences,746
Assistant Professor of Communication Studies,745
"Kindergarten Teachers, Except Special Education",744
ENGINEER,743
Computer Support specialist,742
ACUPUNCTURIST,741
Producers and Directors,740
"Computer Software Engineers, Applications, R&D",739
"Health Technologists and Technicians, All Other",738
Chief Financial Officer,737
MARKET RESEARCH ANALYST & MARKETING SPECIALIST,736
IT/Sharepoint Computer Engineer/Administrator,735
"Software Engineer, II",734
"Engineer, Civil (Structural)",733
RADIO FREQUENCY ENGINEER FOR SERVICE PROVIDER,732
Environmental Scientist and Specialist,731
"Assistant Professor, Adolescent, Career & Special Education",730
Dieticians and Nutritionists,729
"Education Administrators, Preschool and Childcare Center/Program",728
Associate Architect,727
CHIEF TECHNOLOGY OFFICER,726
Film and Video Editor,725
INTERNAL MEDICINE HOSPITALIST,724
Sales Representatives,723
BUSINESS SYSTEMS ANALYST,722
Sr. Microsoft Business Intelligence Analyst,721
Budget Analyst,720
Medcial and Health Services Managers,719
SENIOR UMTS RF ENGINEER,718
Secretary,717
"Transportation, Storage and Distribution Managers",716
Computer Systems Analysts (new code: 15-1121),715
Business Operations Research Analyst,714
Business Analyst Manager,713
Software Developers Applications,712
HOSPITALIST,711
U.S. and China Practice Tax Controversy Associate Attorney,710
Database Adminsitrators,709
Network & Computer Systems Administrator,708
EMBRYOLOGIST,707
"Secondary Teachers, Except Special and Career/Technical Education",706
"Special Education Teachers, Secondary School",705
Technology Specialist,704
RF Engineer,703
DAY CARE GROUP OR HEAD TEACHER,702
Senior System Software Engineer,701
"Software Developers, Systems Applications",700
Administrative Service Managers,699
"Software Developer, NON R&D",698
MARKETING MANAGERS,697
Mkt. Res.Analysts & Mark. Specialists,696
"Education Administrators, All Other",695
Asst. Professor-Computer & Info Sci,694
Research & Development Manager,693
"Sales Rep, Wholesale and Mfg, Except Tech and Sci",692
Software Developer/Engineer,691
Chief Technical Officer,690
Securities Commidities and Financial Services Sales Agents,689
REHAB SERVICES DIRECTOR,688
Naval Architect,687
Storage Operations Specialist,686
First-Line Supervisors/Managers of Personal Service Workers,685
RECREATIONAL THERAPISTS,684
Cheif Executives,683
Teacher of Children with Mild to Mod Disabilities,682
PROJECT MANAGER,681
Laundry and Dry-Cleaning Workers,680
File Clerk,679
Advertising and Promotions Manager,678
Baker/Cake Decorator,677
Software Developer. Applications,676
"Assemblers and Fabricators, All Other",675
BAKER,674
"Medical Scientists, Except Epidemiologist",673
Chemical Technicians,672
Legal Secretaries,671
Assist./Assoc.Prof.of Communication-Strategic Communication,670
Latin Market Development Specialist,669
Middle School Teachers,668
Bookkeeper,667
Substance Abuse and Behavioral Disorder Counselors,666
Farm worker,665
Assistant Residence Supervisor,664
"Health & Safety Engineers, Except Mining Safety Engineers & Inspectors",663
Mental Retardation Aide,662
SECONDARY SCHOOL TEACHER,661
Mechanical Drafter,660
"Comp. Software Engineers, Applications",659
Petrolem Engineers,658
CLINICAL RESEARCH ASSOCIATE,657
"Educational, Guidance, School, and Vocational Counselors",656
Software Developer 15-1132,655
Food Service Manager,654
FITNESS TRAINERS AND AEROBICS INSTUCTORS,653
Helpers--Roofers,652
Financial Manager,651
Subsea Engineering Analyst,650
Computer & Information Research Scientist,649
PCS Engineer,648
Elementary Bilingual Teacher,647
Computer Network Architect,646
Senior Process Engineer Specialist,645
Social and Community Service Managers,644
"Helpers--Painters, paperhangers, and Stucco",643
Team Lead Web Developer,642
MECHANICAL ENGINEER,641
"COOKS, ALL OTHER; HIGH SCHOOL DIPLOMA OR EQUIVALENT",640
Compression Engineer III,639
"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",638
Proofreaders And Copy Markers,637
Computer Software Developer,636
FIRST-LINE SUPERVISORS/MANAGERS OF FOOD PREPARATION AND SERVING WORKERS.,635
Network and Systems Administrators,634
Systems Administrators,633
Head Cook,632
Special Projects Manager,631
LEGAL ANALYST,630
personal and administrative assistant,629
Information Systems Manager/Implementation Consultant,628
High School Spanish Teacher,627
Computer Software Engineer/Programmer Analyst,626
Business Management Analyst,625
Web Developers,624
Computer Operators,623
Groom,622
Network & Computer Systems Administrators,621
Websphere Administrator,620
Senior Mechanical Design Engineer - Korean Accounts,619
VEGETARIAN COOK/VEGAN COOK,618
"Fabric Menders, Except Garment",617
"Art Drama and Music Teachers, Postsecondary",616
General Surgeon,615
Oral and Maxillofacial Surgeons,614
NETWORK AND COMPUTER SYSTEMS ADMINISTRATORS,613
Agricultural and Food Science Technician,612
Engineering Technologist,611
"Recreation and Fitness Studies Teachers, Postsecondary",610
INSTRUCTIONAL COORDINATORS,609
Manager-Technical Support-Software,608
Drill Crop Operation Specialist,607
ACQUISITION SPECIALIST ANALYST,606
Maintenance Worker,605
"Sales Representatives, Wholesale and Manufacturing, Except Technical",604
"Treasurers, Controllers, and Chief Financial Officers",603
Marine Life Safety Technician,602
Quality Engineer,601
Computer Numerically Controlled Machine Programmers,600
"15-1132, Software Developer",599
COMPUTER PROGRAMMER,598
FIRST LINE SUPERVISORS OF PRODUCTION AND OPERATING WORKERS,597
Equestrian,596
"Biological Scientists, All Other",595
Sr. Application Engineer,594
LEAD PRIMARY MONTESSORI TEACHER,593
Neonatologist,592
"Associate Professor, Modern Languages and Lit",591
Civil Engineers (int title Structural Engineer Senior Associate),590
database administrators,589
PROGRAMMER ANALYST III,588
Surgeon,587
Quick Test Pro (QTP) Developer,586
Medical and Health Services Manager,585
Network & Computer Sys Admin,584
"Transportation,Storage,and Distribution Manager",583
Chemical Engineer,582
ABAP Programmer,581
Family physician,580
Comptuer Systems Analysts,579
Electronic Engineer,578
Senior RF Engineer,577
ENGINEERING MANAGERS,576
Medical and Health Service Managers,575
Manager of Fine Arts Transportation Operations,574
Senior Developer,573
Inventory Modeling Lead,572
Software Engineer 2,571
TECHNICAL HR SPECIALIST,570
Social Worker,569
Software Developer-Applications,568
Senior Programmer,567
"Sales Representatives, Wholesale and Manufacturing, Technical & Scientific Prdct",566
Lead Database Administrator,565
SALES REPRESENTATIVE,564
"Engineer, All Others",563
Software Developer *,562
ERP/Business Process Specialist,561
"GRINDING, LAPPING, POLISHING, AND BUFFING MACHINE TOOL SETTERS, OPERATORS",560
HAIRSTYLIST,559
"Engineer, ASIC Design",558
"Software Developers, Applcations",557
Aircraft mechanics and Service,556
"Secondary School Teachers, Except Special and Vocational",555
First-Line Supervisors of Personal Service Workers,554
Senior Microstrategy Architect/Administrator,553
FOOD SERVICE MANAGER,552
Restoration Silversmith,551
Sr. Business Systems Analyst/SAP,550
GRAPHIC DESIGNER,549
Assistant Professor of Modern Languages and Literature (Arabic),548
GIS Pricing Manager,547
Communications Sr. Associate Manager-Seafood Watch,546
"Social Work Teachers, Postsecondary",545
Professor of Real Estate,544
Attorney,543
Network Administator,542
Interventional Cardiologist,541
Operations Director,540
Construction Manager,539
CABINETMAKERS AND BENCH CARPENTERS,538
Prosthodontist,537
Hadoop Administrator,536
"Software Developer, Non R & D (ACWIA Only)",535
MANAGEMENT ANALYST,534
metal coatings engineer,533
"Software DeveloperS,SYSTEMS SOFTWARE",532
15-1132,531
Programmer/Analyst,530
Architectural Digital Renderer & Designer,529
"Wholesale and Retail Buyers, Except Farm Products",528
Field Engineer III,527
"chemistry teachers, postsecondary",526
Chief Execuive,525
Assistant Coach,524
Computer Software Engineer Applications,523
Senior Software Engineer (JAVA),522
Preschool Teachers,521
Investment Analyst,520
MAXIMO ARCHITECT,519
Machine Tool Operator,518
"Helpers--Paimters, Paperhangers, and Stucco",517
Waiters and Waitresses,516
FIRST-LINE SUPERVISORS/MANAGERS OF FOOD PREPARATION AND SERVING WORKERS,515
Senior Engineering Design/Technical Writer,514
Architectural and Engineerings Managers,513
Marketing Analyst,512
Audit Manager,511
Operations Analyst,510
"EconomicsTeachers, Postsecondary",509
PEDIATRICIAN,508
Network and Computer Systems Admin.,507
Director of Business Development,506
"Sales Representatives, Wholes & Manf, Technical & Scientific",505
Data Warehouse Engineer,504
Research Coordinator,503
COMPUTER & INFORMATION SYSTEMS MANAGER,502
WebSphere Administrator,501
Assistant Professor of Marketing,500
CHRISTIAN EDUCATION DIRECTOR,499
Microbiologists,498
Middle School Teacher,497
Senior Cell Product Engineer,496
Nanny,495
bookeeper,494
COMP AND INFO SYSTEMS MANAGER,493
fashion designer,492
TELECOMMUNICATIONS LINE INSTALLER AND REPAIRER,491
Nannies,490
Mechanical Engineer-Finite Element Analyst,489
"Manager, Supply Chain",488
Hairstylist,487
Master Application Developer-Oracle,486
Cabinetmakers and Bench Carpenters,485
Industrial Machinery Mechanics,484
SAP ANALYST-II,483
ACCOUNTANT,482
"Programmer Analyst, II",481
Research Engineer,480
Physician (Pediatric Medicine),479
Cartographers and Photogrammetrists,478
Lodging Managers,477
Music Educational Coordinator,476
"Special Education Teachers, Preschool, Kindergarten, and Elementary School*",475
Assistant Professor Communication/Journalism,474
Software Architect - ETL,473
MARKET RESEARCH ANALYSTS AND MARKETING SPECIALISTS,472
Health and Safety Engineers,471
Transportation Planner,470
Senior Engineer-Materials & Corrosion,469
OPERATIONS ANALYST,468
Chiropractors,467
Game Play Programmer,466
Commercial & Industrial Designers,465
Senior Engineer,464
Programmer/Computer Systems Analyst,463
First-Line Supervisors of Transportation & Material-Moving Machine & Vehicle Ope,462
Senior Marketing Analyst,461
"Educational, Guidance, School and Vocational Counselors",460
"English Lang. & Literature Teachers, Postsecondary",459
Executive VP of Research and Engineering,458
"Software Engineers, Applications",457
"Information Security Analysts, Web Developers and Computer Network Architect",456
Assistant Professor of English,455
Staff Accountant,454
Service Engineer,453
Computer Systems Analyst (SAP HR),452
Senior Graphic Designer,451
"Clinical, Counseling & School Psychologists",450
Application Development Specialist,449
Market Research Analysts and Marketing Specilaists*,448
Computer Systems Principal Architect,447
Vice President of Economics,446
Estimator Engineer,445
PHARMACISTS,444
"Human Resources Managers, All Others",443
"Multiple Machine Tool Setters, Operators & Tenders, Metal & Plastic",442
HOUSEKEEPER-LIVE OUT,441
"Helper--Painters, Paperhangers, and Stucco",440
Carpenters,439
BUTCHERS AND MEAT CUTTERS,438
Regulatory Affairs Specialists,437
"Assistant Professor, Accounting and Finance",436
Special Education Teacher,435
Lead Systems Analyst,434
"Architecture Teachers, Postsecondary",433
Prosthodontists,432
"Computer Systems Analysts, Non R&D",431
Assistant Research Data Analyst,430
ECM Database Programmer,429
Financial Mangers,428
NETWORK AND COMPUTER SYSTEMS ADMINISTRATOR,427
Assistant Professor of Engineering,426
Supervisor-PJM Energy Settlements and Demand,425
Auditors,424
Quantitative Fishery Scientist,423
logistics manager,422
Computer Systems Analysts - SOC/O*NET (OES) Code: 15-1121,421
Director of Religious Activities and Education,420
Network & Comp Sys Admin,419
Assistant to the City Manager,418
CLINICAL HOSPITALIST,417
"Nursing Aide, Orderlies, and Attendant",416
Production Manager,415
Pizza & Bread Maker,414
"Inf. Sec. Anlysts, Web Dev. & Comp. Net. Arch.",413
"COOK, CONTINENTAL CUISINE",412
MEDICAL SERVICE ENGINEER,411
"Mathematical Science Teacher, Postsecondary",410
Camera Operator,409
Director of International Programs,408
RESTAURANT COOK,407
Housekeeper/Nanny,406
Head Chef,405
MEXICAN CUISINE CHEF,404
"S/Ware Developers, Applic.",403
Information Security Analysts (15-1179),402
Software Engineer III,401
EDUCATION ADMINISTRATORS,400
Portuguese Specialty Baker,399
"Infor Sec Analysts,Web Develop,Comp Netw Archt",398
Optometrists,397
Emergency Management Directors,396
"Geoscientist, Except Hydrologist and Geographer",395
Technical Lead,394
Specialty Cook (Italian),393
TAILOR,392
"EDUCATION ADMINISTRATORS,ELEMENTARY AND SECONDARY SCHOOLS",391
"Associate Director, Marketing",390
Software Engineer V,389
"Geoscientists,Except Hydrologists and Geographers",388
"Human Resources, Training, and Labor Relations Specialists, All Other",387
LOGISTICIANS,386
Assistant Professor - Neurology,385
Business Strategy Analyst,384
ELEMENTARY SCHOOL TEACHERS,383
Sr. Product Engineer,382
English Language and Literature Teachers,381
Education Teachers,380
Director of Engineering,379
"Sales Representatives, Wholesale and Manufacturing, Technical and S",378
CARDIOTHORACIC SURGEON,377
Biomedical Engineer,376
Assistant Professor of Clinical Medicine,375
Sr. Infrastructure Architect,374
Product Engineer,373
Assistant Professor in Music,372
"Health Diagnosing and Treating Practitioners, All Other",371
"Principal Software Engineer, Interactive Data Desktop Solutions",370
SUSHI CHEF,369
AUTO BODY REPAIRER,368
POLO HORSE TRAINER,367
Logistics Specialist,366
Electrical Assembly,365
DRYWALL INSTALLER,364
Personal Care Aide,363
"Software Developers, Apps (Now 15-1132)",362
"Shipping, Receiving & Traffic Clerks",361
"Software Developer, Applications (soc 15-1132)",360
"Helpers--Painters, Paperhangers, Plasters, and Stucco",359
System Analyst,358
Systems Accountant,357
School Program Coordinator,356
Data Quality Architect,355
First Line Supervisors of Retail Sales Workers,354
"Assistant Professor, (Physical Geographer)",353
Applications Engineer II,352
Senior Software Engineer (Mainframe),351
Computer And Information Systems Managers,350
QA Analyst,349
Supervisor - PT Services,348
Marketing Specialist,347
"Special Education Teachers, Preschool, Kindergarten, and Elementary School",346
3D Animator,345
Instructional Designer & Technologist,344
Construction Carpenter,343
PICTURE FRAMER,342
ASSISTANT PROFESSOR,341
Software Systems Engineer,340
Tile Setter,339
Floral Designer,338
Staff Accountant (Tax Credits),337
Network and Computer System Administrator,336
Systems Controls Engineer,335
Operations Research Director of US and Latin America,334
"Mobile Heavy Equipment Mechanics, Except Engines",333
Biochemists & Biophysicists,332
Senior Architect,331
Java Software Developer,330
"Special Education Teachers, Preschool, Kindergarten and Elementary",329
Maids and Housekeeping Cleaners,328
Sr. Product Development Engineer,327
residential laborer,326
"Info Sec Anlst,Web Dev & Comp Netw Archt",325
Specialty Chef,324
NAIL ARTIST,323
SAP BI/BO Architect,322
COMPLIANCE OFFICERS,321
"Hairdressers, Hairstylists, and Cosmetologists",320
"Securities, Commodities, & Fin Svcs Sales Agents",319
"Computer Systems Analysts, Non R&D (ACWIA Only)",318
System Engineer,317
Rheumatologist,316
"Art, Drama, & Music Teachers, Postsecondary",315
Network and Comp. Systems Admin.,314
"SOFTWARE DEVELOPMENT, MANAGER",313
Accountant for Foreign Investment,312
Family Medicine Physician,311
Church Administrator,310
JEWELERS AND PRECIOUS STONE AND METAL WORKERS,309
ELECTRONICS ENGINEERING TECHNICIANS,308
Insurance Sales Agents,307
Religious Music Director,306
"Special Education Teachers, Preschool, Kindergarten and Elementary School",305
Food Preparation Workers,304
Occupational Health and Safety Specialists,303
REALTOR,302
Drupal Developer,301
Converged Communications Engineer,300
"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific",299
Medical Scientists,298
Assistant Professor of Political Science,297
Kindergarten Teacher (Head),296
Staff Psychiatrist,295
Mathematical Research Assistant,294
"nformation Security Analysts, Web Developers, and Computer Network Architects",293
OPERATION MANAGER,292
First-Line Supervisors of Production and Operating Workers,291
"Foreign Lang. & Lit. Teachers, Postsecondary",290
SENIOR COMPUTER PROGRAMMER,289
Physician (Internist/Hospitalist),288
Mechanical Design Engineer,287
Sr. IT Analyst,286
"ELEMENTARY SCHOOL TEACHERS, EXCEPT SPECIAL",285
Manucrist,284
"Helper--Painter, Paperhangers, and Stucco",283
"First-Line Supervisors/Managers of Mechanics, Installers, and Repairers",282
Intellectual Property Counsel,281
Computer & Information Ssytems Manager,280
Assisting Chef,279
LIVE IN DOMESTIC WORKER,278
DIRECTOR-LATIN AMERICA,277
Personal Care,276
Technical Architect,275
Primary School Teacher,274
"Securts, Commdts & Finncl Srvcs Sals Agnts",273
"Heating, Air Conditioning & Refrigeration Mechanics & Installer",272
Jeweler,271
Sr. ES-ICE Software Specialist,270
"MAINTENANCE AND REPAIRS WORKERS, GENERAL",269
Cook - Indian Specialty,268
HOUSEHOLD ASSISTANT,267
Process Engineer,266
Financial Aanlysts,265
COMPLIANCE OFFICER,264
TAEKWONDO INSTRUCTOR,263
"Special Education Teachers, Preschool, Kindergarten, and Elementary",262
"Engineer, SAP Basis",261
"Software Developers,Systems Software",260
"ENGINEERING TEACHERS, POSTSECONDARY",259
Systems Engineer,258
"Software Developers,Applications/ Computer Software Engineers,Applications",257
Science Teacher,256
"HEALTH TECHNOLOGISTS AND TECHNICIANS, ALL OTHER",255
Instructor of Biology and Science,254
"Computer Software Eng, Systems Softw",253
First-Line Supervisors of Housekeeping and Janitorial Workers,252
"Pediatrics, General",251
Medical & Health Services Managers,250
"Lead Partner, Latin America Direct Investment",249
Thoracic Surgeon,248
Paralegal and Legal Assistant,247
Regulatory Affairs Specialists: 13-1041.07,246
Information Technologist III,245
Senior Financial Analyst,244
"Info Secrty Anlyts, WebDvlprs & CompNetwrkArchs",243
ADMINISTRATIVE SERVICE MANAGER,242
Market Research Analyst & Marketing Specialist,241
VP Credit Risk Manager,240
"ELECTRONICS ENGINEERS, EXCEPT COMPUTER",239
Software DeveloperS APPLICATIONS,238
SAS Analyst,237
Microwave Design Engineer,236
Material Engineers,235
CONSTRUCTION MANAGERS,234
Sr. Systems Engineer,233
Senior Software Engineer/Java,232
Computer Systems Analyts,231
Information Technologist III/S,230
Assistant Professor (Communications),229
Industrial Production Manager,228
BUTCHER,227
Curriculum & Instruction Director,226
Buyer,225
"Software Developer ,applications",224
Construction Laborers,223
AEROSPACE ENGINEERING AND OPERATION TECHNICIAN,222
Database Administrators [15-1141],221
Senior Programmer/Analyst,220
"First-Line Supervisors of Farming, Fishing, and Forestry Workers",219
FUNERAL ATTENDANTS,218
Technical Account Manager,217
"Social Work Teachers, Post-secondary",216
Application Systems Analyst/Programmer,215
GIS Specialist,214
"Health Specialities Teachers, Postsecondary",213
IT Manager,212
Editor,211
COACHES AND SCOUTS,210
HOME HEALTH AIDE,209
"Senior Telecom Engineer, Systems Software",208
SPECIAL EDUCATION TEACHER,207
MECHANIC,206
AGRICULTURAL EQUIPMENT OPERATORS,205
FOOD SERVICES MANAGER,204
Senior Oracle Database Adminstrator,203
"Secondary School Teachers, Except Special and Career/Technical",202
Sales Representative (internal title Application Consultant),201
Application Developer,200
Java Developer IV,199
"Securities, Commodities, and Financial Services Agents",198
FINANCE DIRECTOR,197
Animal Trainers,196
ART DIRECTOR,195
Public Relations and Fundraising Manager,194
Geoscientist,193
Assistant Professor of Mathematics,192
Computer and Infomation Systems Managers,191
Senior Practice Consultant,190
Principal Application Developer,189
ACOUSTICAL CEILING GRID INSTALLER,188
Medical Assistants,187
Health Educators,186
Engineering Manager/Electronics,185
Store Manager,184
Dental Lab Manager,183
Administrative Assistant.,182
"Environ. Scientists & Specialists, Incl. Health",181
Advertising Sales Agents,180
"Foreing Language and Literature Teachers, postsecondary",179
"Human Resources, Training, & Labor Relations Specialists, All Other",178
Loan Officers,177
CAD Designer,176
Mobile Software Engineer,175
"Director, Senior Research & Investment Officer",174
General Operation Manager,173
"Computer SW Engineer, Systems",172
"Software Developers, Applic.",171
AUTOMOTIVE BODY TECHNICIAN,170
ASSOCIATE PROFESSOR,169
graphic designers,168
Idustrial Engineers,167
Health Diagnosing and Treating Practitioner,166
User Services Analyst II,165
MONTESSORI TEACHER TEAM LEAD,164
Education Administrators,163
Architectural Drafters,162
Construction Project Manager (HVAC),161
Mechancial Engineer,160
PROJECT ENGINEER I,159
MAINTENANCE MANAGER,158
"TEACHERS AND INSTRUCTORS, ALL OTHERS",157
AIRCRAFT MECHANIC,156
Exercise Physiologists,155
"Database Administrators, Senior",154
COMPUTER SYSTEM ANALYST,153
TREE TRIMMER,152
Education Administrator of Academic Affairs,151
Sr. Software Developer,150
PLASTERERS AND STUCCO MASONS,149
Market Analyst,148
Business Administrator,147
Physician (Pulmonary/Critical Care),146
